NAME_x,B09001_001E,B01003_001E,state,county,county_fips,child_pop,total_pop,pct_children,children_in_poverty,child_poverty_rate,NAME_y,county_name,Audiology,Behavioral Health,Developmental Pediatrics,ENT,PT/OT/SLP,Pediatric Cardiology,Pediatric Neurology,Vision,total_pediatric_providers,children_per_provider,children_per_pediatric_neurology,children_per_pt_ot_slp,children_per_developmental_pediatrics,children_per_pediatric_cardiology,children_per_behavioral_health,children_per_audiology,children_per_ent,children_per_vision,access_level
"Alamance County, North Carolina",37805,171779,37,001,37001,37805,171779,22.0,7086,19.0,"Alamance County, North Carolina",Alamance County,8,2,2,5,19,0,4,9,49,772.0,9451.0,1990.0,18902.0,,18902.0,4726.0,7561.0,4201.0,Severe Desert
"Alexander County, North Carolina",7180,36505,37,003,37003,7180,36505,19.7,1374,19.8,"Alexander County, North Carolina","Alexander County, North Carolina",0,0,0,0,0,0,0,0,0,,,,,,,,,,No Providers
"Alleghany County, North Carolina",1792,10989,37,005,37005,1792,10989,16.3,615,34.4,"Alleghany County, North Carolina",Alleghany County,0,0,0,0,1,0,0,0,1,1792.0,,1792.0,,,,,,,Severe Desert
"Anson County, North Carolina",4438,22200,37,007,37007,4438,22200,20.0,1445,33.0,"Anson County, North Carolina",Anson County,0,0,0,0,2,0,0,0,2,2219.0,,2219.0,,,,,,,Severe Desert
"Ashe County, North Carolina",4523,26759,37,009,37009,4523,26759,16.9,787,17.5,"Ashe County, North Carolina",Ashe County,0,0,0,0,2,0,0,0,2,2262.0,,2262.0,,,,,,,Severe Desert
"Avery County, North Carolina",2455,17679,37,011,37011,2455,17679,13.9,269,11.3,"Avery County, North Carolina","Avery County, North Carolina",0,0,0,0,0,0,0,0,0,,,,,,,,,,No Providers
"Beaufort County, North Carolina",8748,44711,37,013,37013,8748,44711,19.6,2399,28.3,"Beaufort County, North Carolina",Beaufort County,0,0,1,0,3,0,0,1,5,1750.0,,2916.0,8748.0,,,,,8748.0,Severe Desert
"Bertie County, North Carolina",3038,17818,37,015,37015,3038,17818,17.1,818,27.3,"Bertie County, North Carolina","Bertie County, North Carolina",0,0,0,0,0,0,0,0,0,,,,,,,,,,No Providers
"Bladen County, North Carolina",6045,29807,37,017,37017,6045,29807,20.3,2340,40.0,"Bladen County, North Carolina",Bladen County,0,0,0,0,3,0,0,0,3,2015.0,,2015.0,,,,,,,Severe Desert
"Brunswick County, North Carolina",20223,139721,37,019,37019,20223,139721,14.5,2613,13.2,"Brunswick County, North Carolina",Brunswick County,9,0,1,1,15,0,3,0,29,697.0,6741.0,1348.0,20223.0,,,2247.0,20223.0,,Severe Desert
"Buncombe County, North Carolina",48538,269449,37,021,37021,48538,269449,18.0,6583,13.9,"Buncombe County, North Carolina",Buncombe County,53,22,7,16,56,3,35,34,226,215.0,1387.0,867.0,6934.0,16179.0,2206.0,916.0,3034.0,1428.0,Underserved
"Burke County, North Carolina",16016,87799,37,023,37023,16016,87799,18.2,4110,26.6,"Burke County, North Carolina",Burke County,2,4,2,2,20,0,1,15,46,348.0,16016.0,801.0,8008.0,,4004.0,8008.0,8008.0,1068.0,Underserved
