npi,name,credential,taxonomy_code,taxonomy_name,city,state,zip,service_category,county_fips,county_name
1497252365,RAMI ABDEL AZIZ,MD,2084N0402X,Child Neurology,FAYETTEVILLE,NC,28304,Pediatric Neurology,37051,Cumberland County
1700144938,MAHMOUD ABDELRAZEK,MD,2084N0402X,Child Neurology,CHARLOTTE,NC,28204,Pediatric Neurology,37119,Mecklenburg County
1144427766,NUHAD ABOU ZEID,MD,2084N0402X,Child Neurology,WINSTON SALEM,NC,27157,Pediatric Neurology,,
1730542606,DALIA ABOU ZEKI,MD,2084N0402X,Child Neurology,CHARLOTTE,NC,28204,Pediatric Neurology,37119,Mecklenburg County
1699952671,LISA ABRAHAM,MD,2084N0402X,Child Neurology,HENDERSONVILLE,NC,28739,Pediatric Neurology,37089,Henderson County
1154689255,MOHAMMAD ABU-RUB,M.B.B.S.,2084N0402X,Child Neurology,CHARLOTTE,NC,28204,Pediatric Neurology,37119,Mecklenburg County
1255748273,NATASHA ACOSTA DIAZ,M.D.,2084N0402X,Child Neurology,LUMBERTON,NC,28360,Pediatric Neurology,37155,Robeson County
1962699892,INDRANI ACOSTA,M.D.,2084N0402X,Child Neurology,WINSTON SALEM,NC,27103,Pediatric Neurology,37067,Forsyth County
1255351805,HEATHER ADKINS,MD,2084N0402X,Child Neurology,DURHAM,NC,27713,Pediatric Neurology,37063,Durham County
1306376405,SHRUTI AGASHE,MD,2084N0402X,Child Neurology,DURHAM,NC,27710,Pediatric Neurology,,
1093725608,THOMAS AHART,"DC, DACNB",2084N0402X,Child Neurology,CARY,NC,27519,Pediatric Neurology,37183,Wake County
1295053742,ANTONIA AHERN,M.D.,2084N0402X,Child Neurology,GREENSBORO,NC,27403,Pediatric Neurology,37081,Guilford County
1508021791,NABIL AHMAD,MD,2084N0402X,Child Neurology,CHARLOTTE,NC,28277,Pediatric Neurology,37119,Mecklenburg County
1366903049,SAMIR AL GHAZAWI,MD,2084N0402X,Child Neurology,GREENVILLE,NC,27834,Pediatric Neurology,37147,Pitt County
1457056848,ROBERT ALAVI,MD,2084N0402X,Child Neurology,WINSTON SALEM,NC,27157,Pediatric Neurology,,
